Teritoriālā vienība,Region,County,1967 Iedzīvotāju skaits gada sākumā,1968 Iedzīvotāju skaits gada sākumā,1969 Iedzīvotāju skaits gada sākumā,1970 Iedzīvotāju skaits gada sākumā,1971 Iedzīvotāju skaits gada sākumā,1972 Iedzīvotāju skaits gada sākumā,1973 Iedzīvotāju skaits gada sākumā,1974 Iedzīvotāju skaits gada sākumā,1975 Iedzīvotāju skaits gada sākumā,1976 Iedzīvotāju skaits gada sākumā,1977 Iedzīvotāju skaits gada sākumā,1978 Iedzīvotāju skaits gada sākumā,1979 Iedzīvotāju skaits gada sākumā,1980 Iedzīvotāju skaits gada sākumā,1981 Iedzīvotāju skaits gada sākumā,1982 Iedzīvotāju skaits gada sākumā,1983 Iedzīvotāju skaits gada sākumā,1984 Iedzīvotāju skaits gada sākumā,1985 Iedzīvotāju skaits gada sākumā,1986 Iedzīvotāju skaits gada sākumā,1987 Iedzīvotāju skaits gada sākumā,1988 Iedzīvotāju skaits gada sākumā,1989 Iedzīvotāju skaits gada sākumā,1990 Iedzīvotāju skaits gada sākumā,1991 Iedzīvotāju skaits gada sākumā,1992 Iedzīvotāju skaits gada sākumā,1993 Iedzīvotāju skaits gada sākumā,1994 Iedzīvotāju skaits gada sākumā,1995 Iedzīvotāju skaits gada sākumā,1996 Iedzīvotāju skaits gada sākumā,1997 Iedzīvotāju skaits gada sākumā,1998 Iedzīvotāju skaits gada sākumā,1999 Iedzīvotāju skaits gada sākumā,2000 Iedzīvotāju skaits gada sākumā,2001 Iedzīvotāju skaits gada sākumā,2002 Iedzīvotāju skaits gada sākumā,2003 Iedzīvotāju skaits gada sākumā,2004 Iedzīvotāju skaits gada sākumā,2005 Iedzīvotāju skaits gada sākumā,2006 Iedzīvotāju skaits gada sākumā,2007 Iedzīvotāju skaits gada sākumā,2008 Iedzīvotāju skaits gada sākumā,2009 Iedzīvotāju skaits gada sākumā,2010 Iedzīvotāju skaits gada sākumā,2011 Iedzīvotāju skaits gada sākumā,2012 Iedzīvotāju skaits gada sākumā,2013 Iedzīvotāju skaits gada sākumā,2014 Iedzīvotāju skaits gada sākumā,2015 Iedzīvotāju skaits gada sākumā,2016 Iedzīvotāju skaits gada sākumā,2017 Iedzīvotāju skaits gada sākumā,2018 Iedzīvotāju skaits gada sākumā,2019 Iedzīvotāju skaits gada sākumā,2020 Iedzīvotāju skaits gada sākumā
Rūjiena,,Rūjienas novads,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,3982,3988,3965,3965,3978,3968,3966,3887,3879,3842,3795,3760,3712,3658,3624,3576,3529,3478,3421,3370,3319,3253,3162,3131,3080,3008,2960,2916,2887,2796,2770,2719
Ainaži,,Salacgrīvas novads,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1257,1240,1266,1274,1311,1319,1334,1321,1304,1275,1268,1112,1093,1073,1053,1038,1019,999,973,955,934,904,866,836,803,779,770,750,711,689,663,655
Salacgrīva,,Salacgrīvas novads,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,3481,3428,3520,3562,3558,3572,3573,3567,3561,3558,3590,3744,3685,3623,3551,3502,3437,3372,3289,3231,3158,3060,2943,2914,2897,2864,2841,2811,2729,2654,2606,2600
Salaspils,,Salaspils novads,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,18543,18485,18301,18210,18196,18018,18153,18007,17748,17748,17652,17564,17524,17566,17620,17576,17394,17110,16898,16843,16751,16734,16643,16616,18071,18011,17977
Saldus,,Saldus novads,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,12330,12113,12469,12452,12452,12472,12540,12597,12576,12658,12660,12557,12483,12413,12365,12289,12234,12138,12016,11987,11919,11735,11413,11217,11022,10895,10771,10627,10311,10053,9937,9775
Saulkrasti,,Saulkrastu novads,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,3418,3364,3337,3331,3375,3370,3389,3451,3529,3554,3576,3297,3287,3268,3229,3181,3143,3129,3133,3119,3132,3130,3103,3085,3051,2993,2978,2922,2813,2859,3012,3054
Sigulda,,Siguldas novads,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,11074,10925,11062,11021,10977,10836,10841,10754,10669,10649,10401,10733,10795,10745,10773,10746,10693,10699,10722,10812,10843,10793,10708,10762,10893,10997,11200,11244,11332,11376,11619,11823
Skrunda,,Skrundas novads,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,5235,5316,5088,5245,3240,3154,3073,3026,2855,2886,2830,2744,2676,2630,2608,2564,2511,2467,2395,2364,2310,2262,2185,2143,2141,2101,2081,2035,1970,1958,1911,1895
Smiltene,,Smiltenes novads,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,6393,6167,6341,6236,6148,6029,5930,5844,5898,5873,5798,6318,6265,6207,6150,6073,6011,5947,5855,5824,5727,5628,5539,5488,5461,5424,5416,5342,5306,5225,5221,5261
Seda,,Strenču novads,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2239,2126,2187,2135,2027,1992,1958,1924,1885,1870,1847,1844,1788,1736,1694,1657,1621,1583,1530,1489,1453,1404,1353,1298,1278,1261,1233,1205,1150,1105,1095,1069
